ekatte_code,settlement_name_bg,settlement_name_en,settlement_type,oblast_code,oblast_name_bg,obshtina_name_bg,nuts3_code
18318,Гърбино,Garbino,село,KNL,Кюстендил,Кюстендил,BG415
18321,Гърбище,Garbishte,село,KRZ,Кърджали,Ардино,BG425
18335,Гърдевци,Gardevtsi,село,VTR,Велико Търново,Елена,BG321
18349,Гърло,Garlo,село,PER,Перник,Брезник,BG414
18352,Гърляно,Garlyano,село,KNL,Кюстендил,Кюстендил,BG415
18366,Гърмен,Garmen,село,BLG,Благоевград,Гърмен,BG413
18374,Гърнати,Garnati,село,SML,Смолян,Неделино,BG424
18397,Гърня,Garnya,село,GAB,Габрово,Дряново,BG322
18407,Гърчиново,Garchinovo,село,TGV,Търговище,Опака,BG334
18410,Гъсково,Gaskovo,село,KRZ,Кърджали,Кърджали,BG425
18424,Гьоврен,Gyovren,село,SML,Смолян,Девин,BG424
18455,Гюешево,Gyueshevo,село,KNL,Кюстендил,Кюстендил,BG415
18469,Гюльовца,Gyulyovtsa,село,BGS,Бургас,Несебър,BG341
18486,Гюргич,Gyurgich,село,VID,Видин,Ружинци,BG311
18490,Елин Пелин,Elin Pelin,село,SFO,София,Елин Пелин,BG412
18505,Гложене,Glozhene,село,VRC,Враца,Козлодуй,BG313
18513,Горна Биркова,Gorna Birkova,село,PAZ,Пазарджик,Велинград,BG423
18527,Горна Дъбева,Gorna Dabeva,село,PAZ,Пазарджик,Велинград,BG423
18544,Главник,Glavnik,село,KRZ,Кърджали,Ардино,BG425
18558,Горно Кирково,Gorno Kirkovo,село,KRZ,Кърджали,Кирково,BG425
18561,Горна Василица,Gorna Vasilitsa,село,SFO,София,Костенец,BG412
18575,Горица,Goritsa,село,DOB,Добрич,Генерал Тошево,BG332
18589,Гецово,Getsovo,село,RAZ,Разград,Разград,BG324
20027,Давери,Daveri,село,VTR,Велико Търново,Елена,BG321
20033,Давидково,Davidkovo,село,SML,Смолян,Баните,BG424
20047,Давидово,Davidovo,село,SLS,Силистра,Кайнарджа,BG325
20050,Давидово,Davidovo,село,TGV,Търговище,Търговище,BG334
20064,Дагоново,Dagonovo,село,BLG,Благоевград,Белица,BG413
20078,Даевци,Daevtsi,село,GAB,Габрово,Трявна,BG322
20081,Дайновци,Daynovtsi,село,VTR,Велико Търново,Елена,BG321
20105,Дамяница,Damyanitsa,село,BLG,Благоевград,Сандански,BG413
20119,Дамяново,Damyanovo,село,GAB,Габрово,Севлиево,BG322
20153,Даскал-Атанасово,Daskal-Atanasovo,село,SZR,Стара Загора,Раднево,BG344
20167,Даскалово,Daskalovo,село,KRZ,Кърджали,Черноочене,BG425
20184,Две могили,Dve mogili,град,RSE,Русе,Две могили,BG323
20198,Две тополи,Dve topoli,село,SML,Смолян,Баните,BG424
20208,Дворище,Dvorishte,село,KNL,Кюстендил,Кюстендил,BG415
20211,Дворище,Dvorishte,село,SZR,Стара Загора,Гурково,BG344
20225,Дебел дял,Debel dyal,село,GAB,Габрово,Габрово,BG322
20242,Дебелец,Debelets,град,VTR,Велико Търново,Велико Търново,BG321
20256,Дебели лаг,Debeli lag,село,PER,Перник,Радомир,BG414
20268,Дебели рът,Debeli rat,село,VTR,Велико Търново,Елена,BG321
20273,Дебелт,Debelt,село,BGS,Бургас,Средец,BG341
20287,Дебелцово,Debeltsovo,село,GAB,Габрово,Севлиево,BG322
20290,Дебеляново,Debelyanovo,село,SML,Смолян,Баните,BG424
20300,Дебнево,Debnevo,село,LOV,Ловеч,Троян,BG315
20314,Дебово,Debovo,село,PVN,Плевен,Никопол,BG314
20328,Дебочица,Debochitsa,село,BLG,Благоевград,Благоевград,BG413
20331,Дебрен,Debren,село,BLG,Благоевград,Гърмен,BG413
20345,Дебрене,Debrene,село,BLG,Благоевград,Сандански,BG413
20359,Дебрене,Debrene,село,DOB,Добрич,Добрич-селска,BG332
